name,representative_food,major_category,weight,energy_kcal,carbohydrate_g,protein_g,calcium_mg,kalium_mg,iron_mg,magnesium_mg,zinc_mg,cellulose_g,aminoacid_mg,leucine_mg,methionine_mg,selenium_ug,omega3_g,vitaminA_ug,vitaminB_mg,folicacid_ug,vitaminB12_mg,vitaminC_mg,vitaminD_ug,vitaminE_mg
가래떡,가래떡,빵 및 과자류,100g,195,43.73,3.92,5.0,23.0,0.25,10.73,0.56,0.6,3913.5,355.09,83.91,3.68,,0.0,0.02,8.57,0.0,0.0,0.0,
가래떡,가래떡,빵 및 과자류,100g,210,46.11,4.0,12.0,27.0,0.18,,,0.7,,,,,,,0.215,,,0.29,0.0,
가래떡_흑미,가래떡,빵 및 과자류,100g,205,47.8,3.5,8.0,46.0,1.3,,,,,,,,,1.0,0.97,,,0.0,,
가오리찜,가오리찜,찜류,200g,102,0.46,21.99,8.0,11.0,0.09,4.21,0.05,2.4,15690.77,1225.67,377.94,0.82,,55.0,1.4,5.99,1.15,0.0,0.0,
가오리찜,가오리찜,찜류,600ml,29,3.52,2.7,27.0,124.0,0.42,15.46,0.38,1.3,,,,,0.06,13.0,0.671,18.79,,0.94,0.14,0.57
가오리콩나물찜,가오리콩나물찜,찜류,600ml,29,3.5,2.68,27.0,125.0,0.42,,,1.3,,,,,,13.0,0.684,18.77,,0.95,0.14,
가오리회무침,가오리회무침,무침류,270ml,47,6.47,4.7,54.0,154.0,0.37,12.94,0.28,1.3,,,,,0.04,27.0,0.858,12.37,,2.84,0.64,0.7
가오리회무침,가오리회무침,무침류,270ml,47,6.47,4.7,54.0,154.0,0.37,12.94,0.28,1.3,,,,,0.04,27.0,0.858,12.37,,2.84,0.64,0.7
가자미 매운탕,가자미 매운탕,찌개 및 전골류,550ml,31,1.4,4.5,12.0,125.0,0.23,11.86,0.26,0.6,,,,,0.11,11.0,1.037,6.88,,1.28,2.95,0.61
가자미 매운탕,가자미 매운탕,찌개 및 전골류,550ml,31,1.5,4.4,12.0,123.0,0.23,11.86,0.26,0.5,,,,,0.11,11.0,1.045,6.91,,1.26,2.95,0.61
가자미구이,가자미구이,생선구이류,200g,123,0.66,18.7,180.0,309.0,0.35,29.02,1.11,1.5,18033.44,1341.69,562.5,83.1,,4.0,4.34,13.9,2.59,0.47,0.0,
가자미구이,가자미구이,생선구이류,100g,151,0.76,22.61,186.0,264.0,0.35,,,0.0,,,,,,,5.175,,,3.82,0.0,
가자미구이,가자미구이,생선구이류,190ml,108,1.26,11.89,22.0,203.0,0.39,,,0.0,,,,,,4.0,2.528,2.89,,1.07,8.62,
가자미구이,가자미구이,생선구이류,79.4ml,222,0.6,29.7,56.0,514.0,0.98,48.07,1.34,0.1,,,,,1.12,11.0,6.369999999999999,6.74,,2.69,21.79,3.02
가자미구이,가자미구이,생선구이류,100ml,127,1.65,14.41,27.0,247.0,0.48,,,0.1,,,,,,7.0,3.07,3.48,,1.32,10.47,
가자미구이,가자미구이,생선구이류,190ml,150,3.85,14.69,27.0,250.0,0.5,,,0.1,,,,,,5.0,3.087,4.02,,1.3,10.47,
가자미식해,가자미식해,젓갈류,250g,134,11.64,11.09,296.0,253.0,1.16,74.33,0.86,4.1,12227.04,937.04,264.99,20.19,,118.0,1.1400000000000001,9.05,0.74,2.56,0.0,
가자미조림,가자미조림,조림류,300g,99,7.17,12.37,76.0,279.0,0.0,27.21,0.64,1.8,-,948.21,305.67,45.08,,38.0,2.653,24.14,2.12,1.39,,
