name,representative_food,major_category,weight,energy_kcal,carbohydrate_g,protein_g,calcium_mg,kalium_mg,iron_mg,magnesium_mg,zinc_mg,cellulose_g,aminoacid_mg,leucine_mg,methionine_mg,selenium_ug,omega3_g,vitaminA_ug,vitaminB_mg,folicacid_ug,vitaminB12_mg,vitaminC_mg,vitaminD_ug,vitaminE_mg
한체다치즈팝콘,다양한 맛 팝콘,곡물·튀김·팝콘 스낵,150g,478,66.2,9.34,,,,,,,,,,,,,0.0,,,,,
시그니처스위트팝콘,다양한 맛 팝콘,곡물·튀김·팝콘 스낵,70g,529,64.29,4.29,,,,,,,,,,,,,0.0,,,,,
커널스슈퍼믹스팝콘,다양한 맛 팝콘,곡물·튀김·팝콘 스낵,55g,473,72.73,4.0,,,,,,,,,,,,,0.0,,,,,
커널스씨네마팝콘,다양한 맛 팝콘,곡물·튀김·팝콘 스낵,110g,559,60.0,6.36,,,,,,,,,,,,,0.0,,,,,
커널스콘소메맛팝콘,이색맛 팝콘,곡물·튀김·팝콘 스낵,80g,463,66.25,10.0,,,,,,,,,,,,,0.0,,,,,
커널스팝콘슈퍼믹스,다양한 맛 팝콘,곡물·튀김·팝콘 스낵,350g,487,73.43,4.0,,,,,,,,,,,,,0.0,,,,,
커널스팝콘오리지널,다양한 맛 팝콘,곡물·튀김·팝콘 스낵,280g,536,57.5,7.5,,,,,,,,,,,,,0.0,,,,,
더블카라멜팝콘컵,다양한 맛 팝콘,곡물·튀김·팝콘 스낵,110g,491,75.45,1.82,,,,,,,,,,,,,0.0,,,,,
메이플팝콘,다채로운 맛 팝콘,곡물·튀김·팝콘 스낵,60g,538,66.67,4.33,,,,,,,,,,,,,0.0,,,,,
오리지널카라멜맛팝콘,다양한 맛 팝콘,곡물·튀김·팝콘 스낵,280g,575,59.5,5.0,,,,,,,,,,,,,0.0,,,,,
체다치즈팝콘,다양한 맛 팝콘,곡물·튀김·팝콘 스낵,60g,547,56.67,8.83,,,,,,,,,,,,,0.0,,,,,
갈릭팝콘,다양한 맛 팝콘,곡물·튀김·팝콘 스낵,20g,410,70.0,6.5,,,,,,,,,,,,,0.0,,,,,
강냉이,옥수수 스낵,곡물·튀김·팝콘 스낵,250g,392,90.0,7.0,,,,,,,,,,,,,0.0,,,,,
강냉이스낵클래식,옥수수 스낵,곡물·튀김·팝콘 스낵,100g,520,83.0,6.0,,,,,,,,,,,,,0.0,,,,,
강냉이튀밥,옥수수 스낵,곡물·튀김·팝콘 스낵,2500g,419,87.0,7.0,,,,,,,,,,,,,0.0,,,,,
강원산골강냉이,옥수수 스낵,곡물·튀김·팝콘 스낵,200g,400,81.0,11.0,,,,,,,,,,,,,0.0,,,,,
강원햇살강냉이,옥수수 스낵,곡물·튀김·팝콘 스낵,200g,398,84.5,8.5,,,,,,,,,,,,,0.0,,,,,
고구마무스맛팝콘,이색맛 팝콘,곡물·튀김·팝콘 스낵,120g,546,60.0,5.0,,,,,,,,,,,,,0.0,,,,,
고소한치즈맛팝콘,이색맛 팝콘,곡물·튀김·팝콘 스낵,60g,467,65.0,10.0,,,,,,,,,,,,,0.0,,,,,
곤약팝콘숯불바베큐맛,이색맛 팝콘,곡물·튀김·팝콘 스낵,25g,372,80.0,8.0,,,,,,,,,,,,,0.0,,,,,
곤약팝콘콘스프맛,이색맛 팝콘,곡물·튀김·팝콘 스낵,25g,388,84.0,8.0,,,,,,,,,,,,,0.0,,,,,
곤약팝콘핫앤스위트,이색맛 팝콘,곡물·튀김·팝콘 스낵,25g,380,80.0,8.0,,,,,,,,,,,,,0.0,,,,,
곰곰팝콘갈릭버터,이색맛 팝콘,곡물·튀김·팝콘 스낵,50g,480,66.0,8.8,,,,,,,,,,,,,0.0,,,,,
곰곰팝콘콘스프맛,뻥튀기,떡·빵·과자류,50g,480,66.0,9.4,,,,,,,,,,,,,0.0,,,,,
국산찰강냉이,옥수수 스낵,곡물·튀김·팝콘 스낵,300g,387,78.4,9.3,,,,,,,,,,,,,0.0,,,,,
까망쿠키초코팝콘,다채로운 맛 팝콘,곡물·튀김·팝콘 스낵,50g,540,62.0,6.0,,,,,,,,,,,,,0.0,,,,,
꽃마추억의강냉이,옥수수 스낵,곡물·튀김·팝콘 스낵,200g,405,88.0,7.0,,,,,,,,,,,,,0.0,,,,,
꿀땅콩버터팝콘,다양한 맛 팝콘,곡물·튀김·팝콘 스낵,60g,475,70.0,6.67,,,,,,,,,,,,,0.0,,,,,
나쵸치즈맛팝콘,이색맛 팝콘,곡물·튀김·팝콘 스낵,45g,567,48.89,8.89,,,,,,,,,,,,,0.0,,,,,
뉴인디팝콘패밀리팩,다양한 맛 팝콘,곡물·튀김·팝콘 스낵,100g,527,61.0,7.27,,,,,,,,,,,,,0.0,,,,,
다르다버터갈릭팝콘,다양한 맛 팝콘,곡물·튀김·팝콘 스낵,40g,588,50.0,7.5,,,,,,,,,,,,,0.0,,,,,
다르다콘소메맛팝콘,이색맛 팝콘,곡물·튀김·팝콘 스낵,40g,500,62.5,7.5,,,,,,,,,,,,,0.0,,,,,
다크초콜릿팝콘,다양한 맛 팝콘,곡물·튀김·팝콘 스낵,32g,431,75.0,3.44,,,,,,,,,,,,,0.0,,,,,
단팝콘,다채로운 맛 팝콘,곡물·튀김·팝콘 스낵,80g,479,71.25,6.25,,,,,,,,,,,,,0.0,,,,,
달콤한초콜릿팝콘,다채로운 맛 팝콘,곡물·튀김·팝콘 스낵,60g,450,80.0,4.67,,,,,,,,,,,,,0.0,,,,,
더블초코팝콘,다채로운 맛 팝콘,곡물·튀김·팝콘 스낵,32g,422,78.13,3.75,,,,,,,,,,,,,0.0,,,,,
딸기줍줍팝콘,다채로운 맛 팝콘,곡물·튀김·팝콘 스낵,55g,491,70.91,3.64,,,,,,,,,,,,,0.0,,,,,
땅콩버터맛팝콘,다양한 맛 팝콘,곡물·튀김·팝콘 스낵,60g,475,70.0,6.67,,,,,,,,,,,,,0.0,,,,,
랜선꽃놀이팝콘,다채로운 맛 팝콘,곡물·튀김·팝콘 스낵,75g,547,62.67,5.33,,,,,,,,,,,,,0.0,,,,,
레인보우팝콘,다채로운 맛 팝콘,곡물·튀김·팝콘 스낵,50g,510,72.0,2.0,,,,,,,,,,,,,0.0,,,,,
맛강냉이,옥수수 스낵,곡물·튀김·팝콘 스낵,100g,388,86.0,10.0,,,,,,,,,,,,,0.0,,,,,
맛소금팝콘,이색맛 팝콘,곡물·튀김·팝콘 스낵,55g,555,52.73,7.27,,,,,,,,,,,,,0.0,,,,,
메가박스바나나맛팝콘,이색맛 팝콘,곡물·튀김·팝콘 스낵,70g,550,61.43,5.71,,,,,,,,,,,,,0.0,,,,,
메가팝콘카라멜팝콘,다양한 맛 팝콘,곡물·튀김·팝콘 스낵,350g,506,67.2,5.22,,,,,,,,,,,,,0.0,,,,,
